Name,Short Name,Latitude,Longitude,Country,Pole Position,Length in meters,Width in meters (AVG),Right Corners,Left Corners,Longest Straight,Constructed,Modified
Circuito de Jerez - Ángel Nieto,Jerez,36.7081,-6.0345,ES,Left,4423,11,8,5,607,1986,2002
Circuit Of The Americas,COTA,30.1328,-97.6368,US,Right,5513,15,9,11,1200,2012,2012
Termas de Río Hondo,Rio Hondo,-27.4875,-64.9471,AR,Left,4806,16,9,5,1076,2008,2013
Autódromo Internacional do Algarve,Portimao,37.2277,-8.6267,PT,Left,4592,18,9,6,970,2008,2008
Lusail International Circuit,Lusail,25.4713,51.4909,QA,Left,5380,12,10,6,1068,2004,2004
Pertamina Mandalika Circuit,Mandalika,-8.8817,116.2763,ID,Left,4301,15,6,11,723,2021,2021
Le Mans,Le Mans,47.9568,0.2071,FR,Left,4185,13,9,5,674,1966,2008
Autodromo Internazionale del Mugello,Mugello,43.9975,11.3719,IT,Right,5245,14,9,6,1141,1974,1974
Circuit de Barcelona-Catalunya,Catalunya,41.5698,2.2581,ES,Left,4657,12,8,6,1047,1991,2021
Sachsenring,Sachsenring,50.7078,12.7958,DE,Left,3671,12,3,10,700,1996,2003
TT Circuit Assen,Assen,52.9577,6.5362,NL,Left,4542,14,12,6,487,1955,2012
Silverstone Circuit,Silverstone,52.0738,-1.0163,GB,Left,5900,15,10,8,770,1948,2010
Red Bull Ring - Spielberg,Spielberg,47.2197,14.7647,AT,Left,4348,12,8,3,810,1997,2022
Misano World Circuit Marco Simoncelli,Misano,43.9575,12.7177,IT,Left,4226,12,10,6,530,1972,2007
MotorLand Aragón,Aragon,41.0714,-0.1884,ES,Right,5077,15,7,10,968,2009,2009
Mobility Resort Motegi,Motegi,36.5558,140.2281,JP,Left,4801,15,8,6,762,1997,1997
Chang International Circuit,Chang,14.8692,101.6532,TH,Left,4554,12,7,5,1000,2014,2014
Phillip Island,Phillip Island,-38.5225,145.2407,AU,Left,4448,13,5,7,900,1956,1988
Sepang International Circuit,Sepang,2.7608,101.7373,MY,Left,5543,16,10,5,920,1998,1998
Circuit Ricardo Tormo,Valencia,39.4816,-0.5844,ES,Right,4005,12,5,9,876,1999,1999
Automotodrom Brno,Brno,49.2104,16.4584,CZ,Left,5403,15,8,6,636,1987,1996
Shanghai Circuit,Shangai,31.3389,121.2202,CN,Left,5281,14,7,7,1202,2004,2004
Laguna Seca,Laguna Seca,36.5842,-121.7531,US,Right,3610,15,4,7,966,1957,1996
Istanbul Park Circuit,Instanbul,40.9511,29.4050,TR,Right,5340,21,6,8,720,2005,2005
Indianapolis Motor Speedway,Indy,39.7959,-86.2331,US,Right,4170,16,6,10,872,1909,2020
Estoril Circuit,Estoril,38.7686,-9.3942,PT,Left,4182,"14,5",4,9,986,1972,2006
Donington Park,Donington,52.8306,-1.3782,GB,Left,4023,12,7,4,564,1931,2018
Nelson Piquet,Nelson Piquet,-29.7646,31.0363,BR,Unknown,2618,12,6,6,900,1995,2021
Phakisa Freeway,Phakisa Freeway,-27.3126,26.8318,ZA,Unknown,4212,18,5,9,950,1999,2016
Suzuka,Suzuka,34.8436,136.5400,JP,Unknown,5807,14,7,10,1180,1962,2003
Oscar A. Galvez,Buenos Aires,-34.6943,-58.4653,AR,Unknown,5426,14,6,7,1238,1952,2008
Imola,Imola,44.3408,11.7167,IT,Unknown,4930,"14,5",9,5,760,1953,2021
Paul Ricard,Paul Richard,43.2517,5.7914,FR,Unknown,5842,"11,5",5,9,1800,1970,2018
Jarama,Jarama,40.6149,-3.6144,ES,Unknown,3855,"10,5",6,7,762,1967,2015
Johor,Johor,1.5183,103.6542,MY,Unknown,5543,16,4,10,700,1986,2003
Nurburgring,Nurburgring,50.3319,6.9389,DE,Unknown,5148,"13,5",8,10,1170,1927,2002
Sentul,Sentul,-6.3606,106.8520,ID,Unknown,4120,16,7,6,900,1993,2017
Shah Alam,Shah Alam,3.0656,101.5508,MY,Unknown,5543,18,5,10,927,1999,2016
Eastern Creek,Eastern Creek,-33.8159,150.8569,AU,Unknown,3930,13,4,6,830,1990,2012
Salzburgring,Salzburgring,47.7750,13.2011,AT,Unknown,4241,"12,5",7,4,925,1968,2012
Hockenheim,Hockenheim,49.3278,8.5658,DE,Unknown,4574,"13,5",6,8,1140,1932,2020
Kyalami,Kyalami,-25.9909,28.0768,ZA,Unknown,4522,"12,5",5,9,900,1961,2021
Interlagos,Interlagos,-23.7014,-46.6972,BR,Unknown,4309,15,4,9,650,1940,2015
Magny Cours,Magny Cours,46.8645,3.1623,FR,Unknown,4411,"13,5",5,8,1200,1960,2018
Hungaroring,Hungaroring,47.5781,19.2508,HU,Unknown,4381,"13,5",8,4,968,1986,2020
Anderstorp,Anderstorp,57.2635,14.0508,SE,Unknown,4030,"12,5",7,4,600,1968,2014
Spa-Francorchamps,Spa-Francorchamps,50.4372,5.9719,BE,Unknown,7004,"12,5",9,12,2237,1921,2020
Rijeka,Rijeka,45.3842,14.4767,HR,Unknown,4168,"13,5",9,7,610,1978,2018
Goiania,Goiania,-16.6995,-49.2176,BR,Unknown,3835,13,8,6,750,1974,2018
Monza,Monza,45.6196,9.2818,IT,Left,5793,"11,5",4,7,1120,1922,2020
Imatra,Imatra,61.1919,28.7399,FI,Unknown,4065,10,7,5,1020,1962,2021
Nogaro,Nogaro,43.7580,-0.0302,FR,Unknown,3636,10,5,5,900,1960,2015
Karlskoga,Karlskoga,59.3318,14.5292,SE,Unknown,4023,"11,5",7,4,860,1949,2012
San Carlos,San Carlos,10.4909,-66.8608,CR,Unknown,3960,14,8,6,950,1986,2019
Opatija,Opatija,45.3372,14.3081,HR,Unknown,1670,"8,5",6,7,270,1913,1990
Montjuïc,Montjuïc,41.3638,2.1513,ES,Unknown,3791,14,5,8,800,1932,1975
Isle of Man,Isle of Man,54.1518,-4.4813,IM,Unknown,60725,"8,5",100,100,11803,1907,2022
Clermont-Ferrand,Clermont-Ferrand,45.7841,3.1148,FR,Unknown,3975,15,12,9,1000,1958,1988
Belfast,Belfast,54.6009,-5.9190,GB,Unknown,3200,14,4,4,1088,1932,1955
Fisco,Fisco,45.1864,9.1316,JP,Unknown,4360,15,9,5,850,1965,1990
Mosport,Mosport,44.0488,-78.6713,CA,Unknown,4023,"13,5",5,10,1067,1961,2012
Rouen,Rouen,49.3845,1.0268,FR,Unknown,5100,13,7,6,2000,1950,1993
Daytona,Daytona,29.1854,-81.0696,US,Unknown,4029,"20,5",4,4,800,1959,2010
Solitude,Solitude,48.7795,9.1179,DE,Unknown,11400,11,9,8,1200,1935,1965
Tampere,Tampere,61.4981,23.7071,FI,Unknown,2970,"10,5",8,4,775,1965,2018
Kristianstad,Kristianstad,56.0342,14.1506,SE,Unknown,1234,11,8,4,680,1968,2009
Hedemora,Hedemora,60.2859,15.9959,SE,Unknown,1538,"7,5",4,4,575,1949,1967
Reims,Reims,49.2542,3.9736,FR,Unknown,8302,10,4,6,1650,1926,1972
Berne,Berne,46.9428,7.4688,CH,Unknown,2660,"6,5",4,3,600,1931,1954
Schotten,Schotten,50.4901,9.1436,DE,Unknown,2575,"7,5",2,8,150,1950,2016
Albi,Albi,43.9285,2.1066,FR,Unknown,3565,"11,5",7,5,800,1959,2014